Date,AAPL,ABBV,AMZN,COST,CVX,GOOGL,HD,JNJ,JPM,KO,LLY,MA,MRK,MSFT,PEP,PFE,PG,UNH,V,XOM
2021-01-25,138.9957275390625,91.2574234008789,164.6999969482422,342.4019470214844,72.78559875488281,94.00373840332031,252.39019775390625,143.2409210205078,116.348388671875,41.9677619934082,201.1798858642578,319.92474365234375,66.0673599243164,219.74156188964844,120.14727783203125,28.72995948791504,116.56591033935547,320.5895080566406,193.42376708984375,38.07803726196289
2021-01-26,139.22914123535156,89.85345458984375,166.30650329589844,345.3349914550781,71.5525131225586,94.6821060180664,250.19456481933594,147.1243896484375,115.87286376953125,42.40654754638672,201.53041076660156,318.4767150878906,65.33464813232422,222.42221069335938,121.5357894897461,28.753089904785156,117.31512451171875,316.2574157714844,194.41510009765625,37.24178695678711
2021-01-27,138.1593475341797,84.8900375366211,161.62899780273438,337.2074279785156,70.62367248535156,90.26498413085938,242.62498474121094,144.880615234375,112.5969009399414,41.752689361572266,196.65135192871094,306.6103820800781,62.745704650878906,222.96791076660156,118.31314086914062,27.92848777770996,113.16342163085938,306.929443359375,187.63973999023438,36.819583892822266
2021-01-28,133.3258056640625,86.06275939941406,161.88099670410156,337.84136962890625,71.28026580810547,91.96514129638672,246.16629028320312,145.9852294921875,114.57832336425781,42.286102294921875,199.06716918945312,315.1529541015625,63.43769836425781,228.74073791503906,119.29879760742188,27.936277389526367,114.90872955322266,311.6856384277344,190.7675323486328,37.39604568481445
2021-01-29,128.33668518066406,84.634033203125,160.30999755859375,333.4605407714844,68.22149658203125,90.68283081054688,239.76535034179688,140.78134155273438,113.31023406982422,41.42576217651367,197.03025817871094,307.3877868652344,62.745704650878906,222.06796264648438,117.05322265625,27.967430114746094,113.01358032226562,307.47320556640625,185.9844512939453,36.40552520751953
2021-02-01,130.4568328857422,84.48538970947266,167.1439971923828,331.6533203125,69.19039154052734,93.9437026977539,239.10133361816406,140.4188995361328,114.14682006835938,41.70967102050781,192.45436096191406,312.5094299316406,62.98177719116211,229.4300079345703,117.40461730957031,27.889530181884766,113.68348693847656,307.86029052734375,190.90231323242188,36.470481872558594
2021-02-02,131.28350830078125,85.45164489746094,169.0,336.4410095214844,69.71083068847656,95.2364273071289,240.9517364501953,139.158935546875,117.6605224609375,42.12263107299805,187.1678924560547,324.9589538574219,63.315589904785156,229.29603576660156,118.60455322265625,27.258516311645508,113.52481842041016,312.2109680175781,194.99252319335938,37.046932220458984
2021-02-03,130.26229858398438,88.32561492919922,165.62649536132812,336.0908203125,71.23221588134766,102.1720199584961,242.73121643066406,138.51165771484375,119.00786590576172,41.959171295166016,186.5994110107422,323.4525451660156,62.94921875,232.63719177246094,118.29600524902344,27.14166259765625,113.66584014892578,311.4458923339844,193.7895050048828,38.50022888183594
2021-02-04,133.61756896972656,89.6304702758789,166.5500030517578,337.36126708984375,71.26425170898438,101.91149139404297,246.8479766845703,139.79751586914062,121.74664306640625,42.1656494140625,191.01431274414062,331.23712158203125,61.89897918701172,231.68939208984375,119.71875,27.180604934692383,113.73638153076172,303.546630859375,201.3828887939453,39.23905563354492
2021-02-05,133.20364379882812,89.79564666748047,167.6074981689453,336.7166442871094,71.47242736816406,103.65828704833984,246.88336181640625,141.9205322265625,121.50885772705078,42.71628189086914,191.15640258789062,329.2157287597656,61.711734771728516,231.8712615966797,120.81583404541016,27.2039794921875,114.21236419677734,299.1130065917969,200.9209442138672,40.55433654785156
